description,uniqueid,shape,values_row_major
Setpoint map for port flap (ID_PORT_SP),0x11F9C,10x10,"1,1,1,1,1,1,0,0,0,0 | 1,1,1,1,1,1,0,0,0,0 | 1,1,1,1,1,1,0,0,0,0 | 1,1,1,1,1,1,0,0,0,0 | 1,1,1,1,1,1,0,0,0,0 | 1,1,1,1,1,1,0,0,0,0 | 1,1,1,0,0,0,0,0,0,0 | 1,1,1,0,0,0,0,0,0,0 | 1,1,1,0,0,0,0,0,0,0 | 1,1,1,0,0,0,0,0,0,0"
Setpoint map for port flap while catalyst heating active (ID_PORT_SP_CH),0x12000,10x10,"1,1,1,1,1,1,0,0,0,0 | 1,1,1,1,1,1,0,0,0,0 | 1,1,1,1,1,1,0,0,0,0 | 1,1,1,1,1,0,0,0,0,0 | 1,1,1,1,1,0,0,0,0,0 | 1,1,1,1,1,0,0,0,0,0 | 1,1,1,0,0,0,0,0,0,0 | 1,1,1,0,0,0,0,0,0,0 | 1,1,1,0,0,0,0,0,0,0 | 1,1,1,0,0,0,0,0,0,0"
PRS_UP_THR difference to basic charge air pressure (IP_PRS_UP_THR_DIF_WIDE_OPEN_THR),0x4D0D0,6x6,"250,250,150,100,95.02,90.05 | 250,250,150,100,95.02,90.05 | 250,250,150,100,95.02,90.05 | 250,250,150,100,95.02,90.05 | 250,250,150,100,95.02,90.05 | 250,250,150,100,95.02,90.05"
Normal idle speed setpoint (IP_N_SP_IS_BAS[MT]),0x21C96,6x6,"1100,960,900,800,700,700 | 1100,960,900,800,700,700 | 1100,960,900,800,700,700 | 1100,960,900,800,700,700 | 1100,960,900,800,700,700 | 1100,960,900,800,700,700"
Idle speed set point depending time after STST-start (IP_N_SP_IS_T_AST_STST),0x22192,6x4,"900,900,640,640 | 1200,1200,800,800 | 1000,1000,790,790 | 950,950,780,780 | 900,900,700,700 | 600,600,600,600"
Bottom limit of closed loop value of PUT control (C_FAC_POW_PUT_CTL_BOL),0x36EC,1x1,"102.00"
Bit field used to delete different inhibit requesters (C_LF_CMB_MOD_INH_RED),0x2564,1x1,"4294967103.00"
Engine Displacement (C_DPL),0x9B84,1x1,"0.00"
Maximum allowed PRS_IM_SP (C_PRS_IM_SP_MAX),0x9CAC,1x1,"239996.00"
Maximum allowed M_AIR_CYL_SP (C_M_AIR_CYL_SP_MAX),0x9BD4,1x1,"0.00"
